household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.3104,Tier-3_Industrial,0
HH-0002,0.1497,Tier-1_Residential,0
HH-0003,0.2329,Tier-2_Commercial,1
HH-0004,0.1422,Tier-1_Residential,0
HH-0005,0.2844,Tier-2_Commercial,0
HH-0006,0.1618,Tier-1_Residential,1
HH-0007,0.3652,Tier-3_Industrial,0
HH-0008,0.1255,Tier-1_Residential,0
HH-0009,0.1308,Tier-1_Residential,1
HH-0010,0.1768,Tier-1_Residential,0
HH-0011,0.1245,Tier-1_Residential,0
HH-0012,0.1405,Tier-1_Residential,1
HH-0013,0.1391,Tier-1_Residential,0
HH-0014,0.1336,Tier-1_Residential,0
HH-0015,0.3127,Tier-3_Industrial,1
HH-0016,0.1638,Tier-1_Residential,0
HH-0017,0.1494,Tier-1_Residential,0
HH-0018,0.1415,Tier-1_Residential,1
HH-0019,0.3427,Tier-3_Industrial,0
HH-0020,0.1365,Tier-1_Residential,0
HH-0021,0.1277,Tier-1_Residential,1
HH-0022,0.2244,Tier-2_Commercial,0
HH-0023,0.1487,Tier-1_Residential,0
HH-0024,0.1727,Tier-1_Residential,1
HH-0025,0.142,Tier-1_Residential,0
HH-0026,0.2611,Tier-2_Commercial,0
HH-0027,0.3624,Tier-3_Industrial,1
HH-0028,0.2317,Tier-2_Commercial,0
HH-0029,0.3403,Tier-3_Industrial,0
HH-0030,0.1253,Tier-1_Residential,1
HH-0031,0.1686,Tier-1_Residential,0
HH-0032,0.2078,Tier-2_Commercial,0
HH-0033,0.1445,Tier-1_Residential,1
HH-0034,0.4236,Tier-3_Industrial,0
HH-0035,0.1636,Tier-1_Residential,0
HH-0036,0.1182,Tier-1_Residential,1
HH-0037,0.2432,Tier-2_Commercial,0
HH-0038,0.1762,Tier-1_Residential,0
HH-0039,0.1633,Tier-1_Residential,1
HH-0040,0.1652,Tier-1_Residential,0
HH-0041,0.166,Tier-1_Residential,0
HH-0042,0.1826,Tier-1_Residential,1
HH-0043,0.1399,Tier-1_Residential,0
HH-0044,0.1548,Tier-1_Residential,0
HH-0045,0.1519,Tier-1_Residential,1
HH-0046,0.2722,Tier-2_Commercial,0
HH-0047,0.1372,Tier-1_Residential,0
HH-0048,0.1596,Tier-1_Residential,1
HH-0049,0.1492,Tier-1_Residential,0
HH-0050,0.1595,Tier-1_Residential,0
